nom_table,systeme_info,volume_lignes,nb_champs_pii,presence_financier,presence_nom,presence_identifiant,nb_utilisateurs_acces,frequence_acces_jour,chiffrement_actuel,logs_actives,niveau_sensibilite
Budget_Previsionnel,SIGFIP,850000,0,1,0,1,45,320,0,1,Secret
Execution_Budgetaire,SIGFIP,620000,0,1,0,1,38,280,0,1,Confidentiel
Mandats_Paiement,SIGFIP,1200000,2,1,0,1,52,450,1,1,Secret
Engagements_Juridiques,SIGFIP,430000,1,1,0,1,29,190,1,1,Confidentiel
Recettes_Fiscales,SIGFIP,980000,3,1,1,1,67,520,0,0,Secret
Virements_Comptes,SIGFIP,750000,2,1,0,1,41,380,0,1,Secret
Comptes_Tresor,SIGFIP,540000,1,1,0,1,33,290,0,1,Confidentiel
Bons_Commande,SIGFIP,320000,1,1,0,1,18,145,1,1,Interne
Rapports_Financiers,SIGFIP,48000,0,1,0,0,12,42,2,1,Public
Subventions_Accordees,SIGFIP,215000,1,1,0,1,24,165,1,1,Confidentiel
Dotations_Ministeres,SIGFIP,175000,0,1,0,1,20,130,1,0,Interne
Reserves_Budgetaires,SIGFIP,95000,0,1,0,0,15,87,2,0,Confidentiel
Controle_Interne,SIGFIP,67000,0,1,0,0,8,55,2,1,Interne
Procedures_Engagement,SIGFIP,43000,0,1,0,0,11,78,2,0,Interne
Glossaire_Codes,SIGFIP,8200,0,0,0,0,65,215,2,0,Public
Statistiques_Budget,SIGFIP,15000,0,0,0,0,80,340,2,0,Public
Comptabilite_Generale,ASTER,720000,0,1,0,1,28,195,1,1,Confidentiel
Journal_Ecritures,ASTER,1100000,0,1,0,1,35,410,1,1,Confidentiel
Plan_Comptable,ASTER,4500,0,0,0,0,120,85,2,1,Public
Rapprochements_Bancaires,ASTER,380000,1,1,0,1,22,167,1,1,Confidentiel
Immobilisations,ASTER,195000,0,1,0,1,19,98,1,1,Interne
Emprunts_Publics,ASTER,88000,1,1,0,1,14,63,2,1,Confidentiel
Flux_Tresorerie,ASTER,265000,0,1,0,1,17,142,1,1,Interne
Tableaux_Bord_Compta,ASTER,32000,0,1,0,0,30,118,2,1,Interne
Parametres_Systeme,ASTER,1200,0,0,0,0,95,72,2,1,Public
Referentiel_Comptes,ASTER,6800,0,0,0,0,110,195,2,1,Public
Declarations_TVA,VECTEUR,440000,4,1,1,1,31,260,0,1,Secret
Avis_Imposition,VECTEUR,890000,5,1,1,1,58,480,0,1,Secret
Contentieux_Fiscaux,VECTEUR,230000,3,1,1,1,23,148,1,1,Confidentiel
Remises_Gracieuses,VECTEUR,145000,2,1,1,1,16,92,2,0,Interne
Controles_Fiscaux,VECTEUR,310000,4,1,1,1,28,195,1,1,Confidentiel
Base_Contribuables,VECTEUR,1650000,6,1,1,1,74,680,0,1,Secret
Restitutions_Impots,VECTEUR,120000,2,1,1,1,19,85,2,0,Confidentiel
Codes_Fiscaux,VECTEUR,2300,0,0,0,0,130,45,2,0,Public
Salaires_Agents,SIRH,210000,8,1,1,1,42,185,1,1,Secret
Contrats_Travail,SIRH,185000,9,1,1,1,37,160,1,1,Secret
Conges_Absences,SIRH,97000,5,0,1,1,26,112,1,1,Confidentiel
Evaluations_Performance,SIRH,54000,4,0,1,0,21,68,2,1,Interne
Dossiers_Disciplinaires,SIRH,23000,7,0,1,1,18,48,2,0,Confidentiel
Formations_Suivies,SIRH,41000,3,0,1,0,31,95,2,1,Interne
Organigramme,SIRH,8500,1,0,1,1,88,210,2,1,Public
Historique_Paie,SIRH,620000,8,1,1,1,46,240,1,1,Confidentiel
Identites_Agents,SIRH,280000,9,0,1,1,39,175,1,1,Secret
Logs_Systeme,DATACENTER,4800000,0,0,0,1,15,8500,2,1,Interne
Sauvegardes_Backup,DATACENTER,2100000,0,0,0,0,8,1200,2,1,Confidentiel
Config_Reseau,DATACENTER,1800,0,0,0,1,22,45,2,1,Confidentiel
Alertes_Securite,DATACENTER,95000,1,0,0,1,12,380,1,1,Interne
